"UPB" "EDUCATION" "ANXIETY"
15	0	1.0053
0	0	-0.7034
0	1	-0.7034
3	1	0.611
12	0	0.2167
0	1	2.0569
7	0	-0.3091
0	1	0.3481
0	1	-1.0977
0	0	-0.0462
4	1	-0.7034
5	0	-0.0462
0	1	-0.1776
7	1	1.0053
0	0	0.4796
0	1	-0.0462
0	0	-1.3606
17	0	-0.0462
0	0	0.7425
5	0	0.4796
6	1	0.7425
6	0	-0.7034
0	0	0.3481
1	1	0.7425
0	0	-1.3606
0	1	-1.3606
0	0	-0.572
0	1	1.1368
0	1	-1.3606
0	0	1.794
0	1	-0.3091
0	0	-1.3606
0	1	-0.4405
0	1	-1.3606
3	0	-0.0462
0	0	0.0852
1	0	1.0053
2	0	-0.1776
0	0	-0.8348
1	1	-0.7034
8	1	0.2167
0	1	1.0053
2	1	-0.1776
9	0	0.8739
0	0	-1.3606
0	1	-1.3606
0	1	-0.9663
0	1	1.1368
2	0	-0.7034
3	1	-0.0462
5	1	-0.1776
0	1	-0.9663
0	0	-1.3606
0	0	-0.4405
0	1	1.1368
0	1	-0.572
0	0	-0.3091
6	1	1.1368
1	0	-0.0462
0	0	-0.1776
0	0	1.1368
0	1	1.1368
13	0	-1.0977
5	0	1.0053
0	1	0.8739
0	1	0.3481
4	0	0.3481
3	0	0.4796
4	0	1.794
0	0	0.611
0	0	-1.3606
3	1	1.1368
0	0	1.1368
7	1	-0.7034
0	1	1.1368
0	0	1.1368
3	0	2.5826
0	0	-1.3606
0	1	-1.3606
0	0	-1.3606
0	0	0.4796
0	0	0.8739
22	0	0.4796
0	1	-0.1776
1	1	-0.0462
0	1	-1.3606
0	0	-1.3606
0	0	0.0852
0	0	-0.572
0	0	-0.7034
0	1	-1.3606
0	0	-1.2292
0	0	-1.3606
7	1	-0.4405
2	1	0.7425
0	0	-1.3606
0	1	0.611
0	0	1.9254
0	0	-0.0462
0	1	-0.0462
9	0	0.4796
0	0	0.2167
0	1	-0.9663
